Pokedex Number,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0001,Bulbasaur,Grass,318,45,49,49,65,65,45
0002,Ivysaur,Grass,405,60,62,63,80,80,60
0003,Venusaur,Grass,525,80,82,83,100,100,80
0003,Venusaur Mega Venusaur,Grass,625,80,100,123,122,120,80
0004,Charmander,Fire,309,39,52,43,60,50,65
0005,Charmeleon,Fire,405,58,64,58,80,65,80
0006,Charizard,Fire,534,78,84,78,109,85,100
0006,Charizard Mega Charizard X,Fire,634,78,130,111,130,85,100
0006,Charizard Mega Charizard Y,Fire,634,78,104,78,159,115,100
0007,Squirtle,Water,314,44,48,65,50,64,43
0008,Wartortle,Water,405,59,63,80,65,80,58
0009,Blastoise,Water,530,79,83,100,85,105,78
0009,Blastoise Mega Blastoise,Water,630,79,103,120,135,115,78
0010,Caterpie,Bug,195,45,30,35,20,20,45
0011,Metapod,Bug,205,50,20,55,25,25,30
0012,Butterfree,Bug,395,60,45,50,90,80,70
0013,Weedle,Bug,195,40,35,30,20,20,50
0014,Kakuna,Bug,205,45,25,50,25,25,35
0015,Beedrill,Bug,395,65,90,40,45,80,75
0015,Beedrill Mega Beedrill,Bug,495,65,150,40,15,80,145
0016,Pidgey,Normal,251,40,45,40,35,35,56
0017,Pidgeotto,Normal,349,63,60,55,50,50,71
0018,Pidgeot,Normal,479,83,80,75,70,70,101
0018,Pidgeot Mega Pidgeot,Normal,579,83,80,80,135,80,121
0019,Rattata,Normal,253,30,56,35,25,35,72
0019,Rattata Alolan Rattata,Dark,253,30,56,35,25,35,72
0020,Raticate,Normal,413,55,81,60,50,70,97
0020,Raticate Alolan Raticate,Dark,413,75,71,70,40,80,77
0021,Spearow,Normal,262,40,60,30,31,31,70
0022,Fearow,Normal,442,65,90,65,61,61,100
0023,Ekans,Poison,288,35,60,44,40,54,55
0024,Arbok,Poison,448,60,95,69,65,79,80
0025,Pikachu,Electric,320,35,55,40,50,50,90
0025,Pikachu Partner Pikachu,Electric,430,45,80,50,75,60,120
0026,Raichu,Electric,485,60,90,55,90,80,110
0026,Raichu Alolan Raichu,Electric,485,60,85,50,95,85,110
0027,Sandshrew,Ground,300,50,75,85,20,30,40
0027,Sandshrew Alolan Sandshrew,Ice,300,50,75,90,10,35,40
0028,Sandslash,Ground,450,75,100,110,45,55,65
0028,Sandslash Alolan Sandslash,Ice,450,75,100,120,25,65,65
0029,Nidoran♀,Poison,275,55,47,52,40,40,41
0030,Nidorina,Poison,365,70,62,67,55,55,56
0031,Nidoqueen,Poison,505,90,92,87,75,85,76
0032,Nidoran♂,Poison,273,46,57,40,40,40,50
0033,Nidorino,Poison,365,61,72,57,55,55,65
0034,Nidoking,Poison,505,81,102,77,85,75,85
0035,Clefairy,Fairy,323,70,45,48,60,65,35
0036,Clefable,Fairy,483,95,70,73,95,90,60
0037,Vulpix,Fire,299,38,41,40,50,65,65
0037,Vulpix Alolan Vulpix,Ice,299,38,41,40,50,65,65
0038,Ninetales,Fire,505,73,76,75,81,100,100
0038,Ninetales Alolan Ninetales,Ice,505,73,67,75,81,100,109
0039,Jigglypuff,Normal,270,115,45,20,45,25,20
0040,Wigglytuff,Normal,435,140,70,45,85,50,45
0041,Zubat,Poison,245,40,45,35,30,40,55
0042,Golbat,Poison,455,75,80,70,65,75,90
0043,Oddish,Grass,320,45,50,55,75,65,30
0044,Gloom,Grass,395,60,65,70,85,75,40
0045,Vileplume,Grass,490,75,80,85,110,90,50
0046,Paras,Bug,285,35,70,55,45,55,25
0047,Parasect,Bug,405,60,95,80,60,80,30
0048,Venonat,Bug,305,60,55,50,40,55,45
0049,Venomoth,Bug,450,70,65,60,90,75,90
0050,Diglett,Ground,265,10,55,25,35,45,95
0050,Diglett Alolan Diglett,Ground,265,10,55,30,35,45,90
0051,Dugtrio,Ground,425,35,100,50,50,70,120
0051,Dugtrio Alolan Dugtrio,Ground,425,35,100,60,50,70,110
0052,Meowth,Normal,290,40,45,35,40,40,90
0052,Meowth Alolan Meowth,Dark,290,40,35,35,50,40,90
0052,Meowth Galarian Meowth,Steel,290,50,65,55,40,40,40
0053,Persian,Normal,440,65,70,60,65,65,115
0053,Persian Alolan Persian,Dark,440,65,60,60,75,65,115
0054,Psyduck,Water,320,50,52,48,65,50,55
0055,Golduck,Water,500,80,82,78,95,80,85
0056,Mankey,Fighting,305,40,80,35,35,45,70
0057,Primeape,Fighting,455,65,105,60,60,70,95
0058,Growlithe,Fire,350,55,70,45,70,50,60
0058,Growlithe Hisuian Growlithe,Fire,350,60,75,45,65,50,55
0059,Arcanine,Fire,555,90,110,80,100,80,95
0059,Arcanine Hisuian Arcanine,Fire,555,95,115,80,95,80,90
0060,Poliwag,Water,300,40,50,40,40,40,90
0061,Poliwhirl,Water,385,65,65,65,50,50,90
0062,Poliwrath,Water,510,90,95,95,70,90,70
0063,Abra,Psychic,310,25,20,15,105,55,90
0064,Kadabra,Psychic,400,40,35,30,120,70,105
0065,Alakazam,Psychic,500,55,50,45,135,95,120
0065,Alakazam Mega Alakazam,Psychic,600,55,50,65,175,105,150
0066,Machop,Fighting,305,70,80,50,35,35,35
0067,Machoke,Fighting,405,80,100,70,50,60,45
0068,Machamp,Fighting,505,90,130,80,65,85,55
0069,Bellsprout,Grass,300,50,75,35,70,30,40
0070,Weepinbell,Grass,390,65,90,50,85,45,55
0071,Victreebel,Grass,490,80,105,65,100,70,70
0072,Tentacool,Water,335,40,40,35,50,100,70
0073,Tentacruel,Water,515,80,70,65,80,120,100
0074,Geodude,Rock,300,40,80,100,30,30,20
0074,Geodude Alolan Geodude,Rock,300,40,80,100,30,30,20
0075,Graveler,Rock,390,55,95,115,45,45,35
0075,Graveler Alolan Graveler,Rock,390,55,95,115,45,45,35
0076,Golem,Rock,495,80,120,130,55,65,45
0076,Golem Alolan Golem,Rock,495,80,120,130,55,65,45
0077,Ponyta,Fire,410,50,85,55,65,65,90
0077,Ponyta Galarian Ponyta,Psychic,410,50,85,55,65,65,90
0078,Rapidash,Fire,500,65,100,70,80,80,105
0078,Rapidash Galarian Rapidash,Psychic,500,65,100,70,80,80,105
0079,Slowpoke,Water,315,90,65,65,40,40,15
0079,Slowpoke Galarian Slowpoke,Psychic,315,90,65,65,40,40,15
0080,Slowbro,Water,490,95,75,110,100,80,30
0080,Slowbro Mega Slowbro,Water,590,95,75,180,130,80,30
0080,Slowbro Galarian Slowbro,Poison,490,95,100,95,100,70,30
0081,Magnemite,Electric,325,25,35,70,95,55,45
0082,Magneton,Electric,465,50,60,95,120,70,70
0083,Farfetch'd,Normal,377,52,90,55,58,62,60
0083,Farfetch'd Galarian Farfetch'd,Fighting,377,52,95,55,58,62,55
0084,Doduo,Normal,310,35,85,45,35,35,75
0085,Dodrio,Normal,470,60,110,70,60,60,110
0086,Seel,Water,325,65,45,55,45,70,45
0087,Dewgong,Water,475,90,70,80,70,95,70
0088,Grimer,Poison,325,80,80,50,40,50,25
0088,Grimer Alolan Grimer,Poison,325,80,80,50,40,50,25
0089,Muk,Poison,500,105,105,75,65,100,50
0089,Muk Alolan Muk,Poison,500,105,105,75,65,100,50
0090,Shellder,Water,305,30,65,100,45,25,40
0091,Cloyster,Water,525,50,95,180,85,45,70
0092,Gastly,Ghost,310,30,35,30,100,35,80
0093,Haunter,Ghost,405,45,50,45,115,55,95
0094,Gengar,Ghost,500,60,65,60,130,75,110
0094,Gengar Mega Gengar,Ghost,600,60,65,80,170,95,130
0095,Onix,Rock,385,35,45,160,30,45,70
0096,Drowzee,Psychic,328,60,48,45,43,90,42
0097,Hypno,Psychic,483,85,73,70,73,115,67
0098,Krabby,Water,325,30,105,90,25,25,50
0099,Kingler,Water,475,55,130,115,50,50,75
0100,Voltorb,Electric,330,40,30,50,55,55,100
0100,Voltorb Hisuian Voltorb,Electric,330,40,30,50,55,55,100
0101,Electrode,Electric,490,60,50,70,80,80,150
0101,Electrode Hisuian Electrode,Electric,490,60,50,70,80,80,150
0102,Exeggcute,Grass,325,60,40,80,60,45,40
0103,Exeggutor,Grass,530,95,95,85,125,75,55
0103,Exeggutor Alolan Exeggutor,Grass,530,95,105,85,125,75,45
0104,Cubone,Ground,320,50,50,95,40,50,35
0105,Marowak,Ground,425,60,80,110,50,80,45
0105,Marowak Alolan Marowak,Fire,425,60,80,110,50,80,45
0106,Hitmonlee,Fighting,455,50,120,53,35,110,87
0107,Hitmonchan,Fighting,455,50,105,79,35,110,76
0108,Lickitung,Normal,385,90,55,75,60,75,30
0109,Koffing,Poison,340,40,65,95,60,45,35
0110,Weezing,Poison,490,65,90,120,85,70,60
0110,Weezing Galarian Weezing,Poison,490,65,90,120,85,70,60
0111,Rhyhorn,Ground,345,80,85,95,30,30,25
0112,Rhydon,Ground,485,105,130,120,45,45,40
0113,Chansey,Normal,450,250,5,5,35,105,50
0114,Tangela,Grass,435,65,55,115,100,40,60
0115,Kangaskhan,Normal,490,105,95,80,40,80,90
0115,Kangaskhan Mega Kangaskhan,Normal,590,105,125,100,60,100,100
0116,Horsea,Water,295,30,40,70,70,25,60
0117,Seadra,Water,440,55,65,95,95,45,85
0118,Goldeen,Water,320,45,67,60,35,50,63
0119,Seaking,Water,450,80,92,65,65,80,68
0120,Staryu,Water,340,30,45,55,70,55,85
0121,Starmie,Water,520,60,75,85,100,85,115
0122,Mr. Mime,Psychic,460,40,45,65,100,120,90
0122,Mr. Mime Galarian Mr. Mime,Ice,460,50,65,65,90,90,100
0123,Scyther,Bug,500,70,110,80,55,80,105
0124,Jynx,Ice,455,65,50,35,115,95,95
0125,Electabuzz,Electric,490,65,83,57,95,85,105
0126,Magmar,Fire,495,65,95,57,100,85,93
0127,Pinsir,Bug,500,65,125,100,55,70,85
0127,Pinsir Mega Pinsir,Bug,600,65,155,120,65,90,105
0128,Tauros,Normal,490,75,100,95,40,70,110
0128,Tauros Combat Breed,Fighting,490,75,110,105,30,70,100
0128,Tauros Blaze Breed,Fighting,490,75,110,105,30,70,100
0128,Tauros Aqua Breed,Fighting,490,75,110,105,30,70,100
0129,Magikarp,Water,200,20,10,55,15,20,80
0130,Gyarados,Water,540,95,125,79,60,100,81
0130,Gyarados Mega Gyarados,Water,640,95,155,109,70,130,81
0131,Lapras,Water,535,130,85,80,85,95,60
0132,Ditto,Normal,288,48,48,48,48,48,48
0133,Eevee,Normal,325,55,55,50,45,65,55
0133,Eevee Partner Eevee,Normal,435,65,75,70,65,85,75
0134,Vaporeon,Water,525,130,65,60,110,95,65
0135,Jolteon,Electric,525,65,65,60,110,95,130
0136,Flareon,Fire,525,65,130,60,95,110,65
0137,Porygon,Normal,395,65,60,70,85,75,40
0138,Omanyte,Rock,355,35,40,100,90,55,35
0139,Omastar,Rock,495,70,60,125,115,70,55
0140,Kabuto,Rock,355,30,80,90,55,45,55
0141,Kabutops,Rock,495,60,115,105,65,70,80
0142,Aerodactyl,Rock,515,80,105,65,60,75,130
0142,Aerodactyl Mega Aerodactyl,Rock,615,80,135,85,70,95,150
0143,Snorlax,Normal,540,160,110,65,65,110,30
0144,Articuno,Ice,580,90,85,100,95,125,85
0144,Articuno Galarian Articuno,Psychic,580,90,85,85,125,100,95
0145,Zapdos,Electric,580,90,90,85,125,90,100
0145,Zapdos Galarian Zapdos,Fighting,580,90,125,90,85,90,100
0146,Moltres,Fire,580,90,100,90,125,85,90
0146,Moltres Galarian Moltres,Dark,580,90,85,90,100,125,90
0147,Dratini,Dragon,300,41,64,45,50,50,50
0148,Dragonair,Dragon,420,61,84,65,70,70,70
0149,Dragonite,Dragon,600,91,134,95,100,100,80
0150,Mewtwo,Psychic,680,106,110,90,154,90,130
0150,Mewtwo Mega Mewtwo X,Psychic,780,106,190,100,154,100,130
0150,Mewtwo Mega Mewtwo Y,Psychic,780,106,150,70,194,120,140
0151,Mew,Psychic,600,100,100,100,100,100,100
0152,Chikorita,Grass,318,45,49,65,49,65,45
0153,Bayleef,Grass,405,60,62,80,63,80,60
0154,Meganium,Grass,525,80,82,100,83,100,80
0155,Cyndaquil,Fire,309,39,52,43,60,50,65
0156,Quilava,Fire,405,58,64,58,80,65,80
0157,Typhlosion,Fire,534,78,84,78,109,85,100
0157,Typhlosion Hisuian Typhlosion,Fire,534,73,84,78,119,85,95
0158,Totodile,Water,314,50,65,64,44,48,43
0159,Croconaw,Water,405,65,80,80,59,63,58
0160,Feraligatr,Water,530,85,105,100,79,83,78
0161,Sentret,Normal,215,35,46,34,35,45,20
0162,Furret,Normal,415,85,76,64,45,55,90
0163,Hoothoot,Normal,262,60,30,30,36,56,50
0164,Noctowl,Normal,452,100,50,50,86,96,70
0165,Ledyba,Bug,265,40,20,30,40,80,55
0166,Ledian,Bug,390,55,35,50,55,110,85
0167,Spinarak,Bug,250,40,60,40,40,40,30
0168,Ariados,Bug,400,70,90,70,60,70,40
0169,Crobat,Poison,535,85,90,80,70,80,130
0170,Chinchou,Water,330,75,38,38,56,56,67
0171,Lanturn,Water,460,125,58,58,76,76,67
0172,Pichu,Electric,205,20,40,15,35,35,60
0173,Cleffa,Fairy,218,50,25,28,45,55,15
0174,Igglybuff,Normal,210,90,30,15,40,20,15
0175,Togepi,Fairy,245,35,20,65,40,65,20
0176,Togetic,Fairy,405,55,40,85,80,105,40
0177,Natu,Psychic,320,40,50,45,70,45,70
0178,Xatu,Psychic,470,65,75,70,95,70,95
0179,Mareep,Electric,280,55,40,40,65,45,35
0180,Flaaffy,Electric,365,70,55,55,80,60,45
0181,Ampharos,Electric,510,90,75,85,115,90,55
0181,Ampharos Mega Ampharos,Electric,610,90,95,105,165,110,45
0182,Bellossom,Grass,490,75,80,95,90,100,50
0183,Marill,Water,250,70,20,50,20,50,40
0184,Azumarill,Water,420,100,50,80,60,80,50
0185,Sudowoodo,Rock,410,70,100,115,30,65,30
0186,Politoed,Water,500,90,75,75,90,100,70
0187,Hoppip,Grass,250,35,35,40,35,55,50
0188,Skiploom,Grass,340,55,45,50,45,65,80
0189,Jumpluff,Grass,460,75,55,70,55,95,110
0190,Aipom,Normal,360,55,70,55,40,55,85
0191,Sunkern,Grass,180,30,30,30,30,30,30
0192,Sunflora,Grass,425,75,75,55,105,85,30
0193,Yanma,Bug,390,65,65,45,75,45,95
0194,Wooper,Water,210,55,45,45,25,25,15
0194,Wooper Paldean Wooper,Poison,210,55,45,45,25,25,15
0195,Quagsire,Water,430,95,85,85,65,65,35
0196,Espeon,Psychic,525,65,65,60,130,95,110
0197,Umbreon,Dark,525,95,65,110,60,130,65
0198,Murkrow,Dark,405,60,85,42,85,42,91
0199,Slowking,Water,490,95,75,80,100,110,30
0199,Slowking Galarian Slowking,Poison,490,95,65,80,110,110,30
0200,Misdreavus,Ghost,435,60,60,60,85,85,85
0201,Unown,Psychic,336,48,72,48,72,48,48
0202,Wobbuffet,Psychic,405,190,33,58,33,58,33
0203,Girafarig,Normal,455,70,80,65,90,65,85
0204,Pineco,Bug,290,50,65,90,35,35,15
0205,Forretress,Bug,465,75,90,140,60,60,40
0206,Dunsparce,Normal,415,100,70,70,65,65,45
0207,Gligar,Ground,430,65,75,105,35,65,85
0208,Steelix,Steel,510,75,85,200,55,65,30
0208,Steelix Mega Steelix,Steel,610,75,125,230,55,95,30
0209,Snubbull,Fairy,300,60,80,50,40,40,30
0210,Granbull,Fairy,450,90,120,75,60,60,45
0211,Qwilfish,Water,440,65,95,85,55,55,85
0211,Qwilfish Hisuian Qwilfish,Dark,440,65,95,85,55,55,85
0212,Scizor,Bug,500,70,130,100,55,80,65
0212,Scizor Mega Scizor,Bug,600,70,150,140,65,100,75
0213,Shuckle,Bug,505,20,10,230,10,230,5
0214,Heracross,Bug,500,80,125,75,40,95,85
0214,Heracross Mega Heracross,Bug,600,80,185,115,40,105,75
0215,Sneasel,Dark,430,55,95,55,35,75,115
0215,Sneasel Hisuian Sneasel,Fighting,430,55,95,55,35,75,115
0216,Teddiursa,Normal,330,60,80,50,50,50,40
0217,Ursaring,Normal,500,90,130,75,75,75,55
0218,Slugma,Fire,250,40,40,40,70,40,20
0219,Magcargo,Fire,430,60,50,120,90,80,30
0220,Swinub,Ice,250,50,50,40,30,30,50
0221,Piloswine,Ice,450,100,100,80,60,60,50
0222,Corsola,Water,410,65,55,95,65,95,35
0222,Corsola Galarian Corsola,Ghost,410,60,55,100,65,100,30
0223,Remoraid,Water,300,35,65,35,65,35,65
0224,Octillery,Water,480,75,105,75,105,75,45
0225,Delibird,Ice,330,45,55,45,65,45,75
0226,Mantine,Water,485,85,40,70,80,140,70
0227,Skarmory,Steel,465,65,80,140,40,70,70
0228,Houndour,Dark,330,45,60,30,80,50,65
0229,Houndoom,Dark,500,75,90,50,110,80,95
0229,Houndoom Mega Houndoom,Dark,600,75,90,90,140,90,115
0230,Kingdra,Water,540,75,95,95,95,95,85
0231,Phanpy,Ground,330,90,60,60,40,40,40
0232,Donphan,Ground,500,90,120,120,60,60,50
0233,Porygon2,Normal,515,85,80,90,105,95,60
0234,Stantler,Normal,465,73,95,62,85,65,85
0235,Smeargle,Normal,250,55,20,35,20,45,75
0236,Tyrogue,Fighting,210,35,35,35,35,35,35
0237,Hitmontop,Fighting,455,50,95,95,35,110,70
0238,Smoochum,Ice,305,45,30,15,85,65,65
0239,Elekid,Electric,360,45,63,37,65,55,95
0240,Magby,Fire,365,45,75,37,70,55,83
0241,Miltank,Normal,490,95,80,105,40,70,100
0242,Blissey,Normal,540,255,10,10,75,135,55
0243,Raikou,Electric,580,90,85,75,115,100,115
0244,Entei,Fire,580,115,115,85,90,75,100
0245,Suicune,Water,580,100,75,115,90,115,85
0246,Larvitar,Rock,300,50,64,50,45,50,41
0247,Pupitar,Rock,410,70,84,70,65,70,51
0248,Tyranitar,Rock,600,100,134,110,95,100,61
0248,Tyranitar Mega Tyranitar,Rock,700,100,164,150,95,120,71
0249,Lugia,Psychic,680,106,90,130,90,154,110
0250,Ho-oh,Fire,680,106,130,90,110,154,90
0251,Celebi,Psychic,600,100,100,100,100,100,100
0252,Treecko,Grass,310,40,45,35,65,55,70
0253,Grovyle,Grass,405,50,65,45,85,65,95
0254,Sceptile,Grass,530,70,85,65,105,85,120
0254,Sceptile Mega Sceptile,Grass,630,70,110,75,145,85,145
0255,Torchic,Fire,310,45,60,40,70,50,45
0256,Combusken,Fire,405,60,85,60,85,60,55
0257,Blaziken,Fire,530,80,120,70,110,70,80
0257,Blaziken Mega Blaziken,Fire,630,80,160,80,130,80,100
0258,Mudkip,Water,310,50,70,50,50,50,40
0259,Marshtomp,Water,405,70,85,70,60,70,50
0260,Swampert,Water,535,100,110,90,85,90,60
0260,Swampert Mega Swampert,Water,635,100,150,110,95,110,70
0261,Poochyena,Dark,220,35,55,35,30,30,35
0262,Mightyena,Dark,420,70,90,70,60,60,70
0263,Zigzagoon,Normal,240,38,30,41,30,41,60
0263,Zigzagoon Galarian Zigzagoon,Dark,240,38,30,41,30,41,60
0264,Linoone,Normal,420,78,70,61,50,61,100
0264,Linoone Galarian Linoone,Dark,420,78,70,61,50,61,100
0265,Wurmple,Bug,195,45,45,35,20,30,20
0266,Silcoon,Bug,205,50,35,55,25,25,15
0267,Beautifly,Bug,395,60,70,50,100,50,65
0268,Cascoon,Bug,205,50,35,55,25,25,15
0269,Dustox,Bug,385,60,50,70,50,90,65
0270,Lotad,Water,220,40,30,30,40,50,30
0271,Lombre,Water,340,60,50,50,60,70,50
0272,Ludicolo,Water,480,80,70,70,90,100,70
0273,Seedot,Grass,220,40,40,50,30,30,30
0274,Nuzleaf,Grass,340,70,70,40,60,40,60
0275,Shiftry,Grass,480,90,100,60,90,60,80
0276,Taillow,Normal,270,40,55,30,30,30,85
0277,Swellow,Normal,455,60,85,60,75,50,125
0278,Wingull,Water,270,40,30,30,55,30,85
0279,Pelipper,Water,440,60,50,100,95,70,65
0280,Ralts,Psychic,198,28,25,25,45,35,40
0281,Kirlia,Psychic,278,38,35,35,65,55,50
0282,Gardevoir,Psychic,518,68,65,65,125,115,80
0282,Gardevoir Mega Gardevoir,Psychic,618,68,85,65,165,135,100
0283,Surskit,Bug,269,40,30,32,50,52,65
0284,Masquerain,Bug,454,70,60,62,100,82,80
0285,Shroomish,Grass,295,60,40,60,40,60,35
0286,Breloom,Grass,460,60,130,80,60,60,70
0287,Slakoth,Normal,280,60,60,60,35,35,30
0288,Vigoroth,Normal,440,80,80,80,55,55,90
0289,Slaking,Normal,670,150,160,100,95,65,100
0290,Nincada,Bug,266,31,45,90,30,30,40
0291,Ninjask,Bug,456,61,90,45,50,50,160
0292,Shedinja,Bug,236,1,90,45,30,30,40
0293,Whismur,Normal,240,64,51,23,51,23,28
0294,Loudred,Normal,360,84,71,43,71,43,48
0295,Exploud,Normal,490,104,91,63,91,73,68
0296,Makuhita,Fighting,237,72,60,30,20,30,25
0297,Hariyama,Fighting,474,144,120,60,40,60,50
0298,Azurill,Normal,190,50,20,40,20,40,20
0299,Nosepass,Rock,375,30,45,135,45,90,30
0300,Skitty,Normal,260,50,45,45,35,35,50
0301,Delcatty,Normal,400,70,65,65,55,55,90
0302,Sableye,Dark,380,50,75,75,65,65,50
0302,Sableye Mega Sableye,Dark,480,50,85,125,85,115,20
0303,Mawile,Steel,380,50,85,85,55,55,50
0303,Mawile Mega Mawile,Steel,480,50,105,125,55,95,50
0304,Aron,Steel,330,50,70,100,40,40,30
0305,Lairon,Steel,430,60,90,140,50,50,40
0306,Aggron,Steel,530,70,110,180,60,60,50
0306,Aggron Mega Aggron,Steel,630,70,140,230,60,80,50
0307,Meditite,Fighting,280,30,40,55,40,55,60
0308,Medicham,Fighting,410,60,60,75,60,75,80
0308,Medicham Mega Medicham,Fighting,510,60,100,85,80,85,100
0309,Electrike,Electric,295,40,45,40,65,40,65
0310,Manectric,Electric,475,70,75,60,105,60,105
0310,Manectric Mega Manectric,Electric,575,70,75,80,135,80,135
0311,Plusle,Electric,405,60,50,40,85,75,95
0312,Minun,Electric,405,60,40,50,75,85,95
0313,Volbeat,Bug,430,65,73,75,47,85,85
0314,Illumise,Bug,430,65,47,75,73,85,85
0315,Roselia,Grass,400,50,60,45,100,80,65
0316,Gulpin,Poison,302,70,43,53,43,53,40
0317,Swalot,Poison,467,100,73,83,73,83,55
0318,Carvanha,Water,305,45,90,20,65,20,65
0319,Sharpedo,Water,460,70,120,40,95,40,95
0319,Sharpedo Mega Sharpedo,Water,560,70,140,70,110,65,105
0320,Wailmer,Water,400,130,70,35,70,35,60
0321,Wailord,Water,500,170,90,45,90,45,60
0322,Numel,Fire,305,60,60,40,65,45,35
0323,Camerupt,Fire,460,70,100,70,105,75,40
0323,Camerupt Mega Camerupt,Fire,560,70,120,100,145,105,20
0324,Torkoal,Fire,470,70,85,140,85,70,20
0325,Spoink,Psychic,330,60,25,35,70,80,60
0326,Grumpig,Psychic,470,80,45,65,90,110,80
0327,Spinda,Normal,360,60,60,60,60,60,60
0328,Trapinch,Ground,290,45,100,45,45,45,10
